"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
