"Year","Make","Model","Trim","Body","Mileage","VIN","TitleType","ExteriorColor","InteriorColor","Transmission","Price"
2017,"Honda","Civic","EX","Hatchback",11,"SHHFK7H55HU220856","","Red","Black","Automatic","$23,175"
2008,"Honda","Civic","","Sedan",11300,"JHMFA36228S019987","CleanTitle","SILVER","Blue","Automatic","$5,950"
2014,"Honda","Civic","LX","Sedan",18418,"19XFB2F54EE200784","CleanTitle","RED","","Automatic","$12,974"
2013,"Honda","Civic","LX","Sedan",17878,"19XFB2F51DE274498","CleanTitle","BLACK","","Automatic","$11,974"
2014,"Honda","Civic","LX","Coupe",24249,"2HGFG3B55EH509716","","Gray","","Automatic","$14,478"
2017,"Honda","Civic","EX-L","Sedan",15,"19XFC1F72HE013749","","CosmicBlueMetallic","Gray","Automatic","$23,206"
1989,"Honda","Civic","DX","Hatchback",178000,"2HGED6454KH520270","CleanTitle","White","Blue","Automatic","$2,000"
2017,"Honda","Civic","LX","Sedan",11,"19XFC2F59HE007516","","Blue","Black","Automatic","$19,182"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F7XHE008093","","Blue","Black","Automatic","$20,678"
2017,"Honda","Civic","EX","Sedan",11,"19XFC2F72HE008086","","White","Black","Automatic","$20,678"
2017,"Honda","Civic","LX-P","Coupe",11,"2HGFC4B03HH302350","","White","Black","Automatic","$20,500"
1991,"Honda","Civic","","Sedan",260000,"JHMED3558MS001972","CleanTitle","Black","Blue","","$2,500"
2017,"Honda","Civic","EX","Sedan",8,"19XFC2F79HE035057","","AegeanBlueMetallic","Black","Automatic","$20,718"
2017,"Honda","Civic","LX","Sedan",6,"19XFC2F53HE034839","","ModernSteelMetallic","Gray","Automatic","$19,222"
2017,"Honda","Civic","LX","Sedan",15,"19XFC2F53HE034095","","CrystalBlackPearl","Ivory","Automatic","$19,222"
2017,"Honda","Civic","EX-L","Sedan",15,"19XFC1F73HE014893","","WhiteOrchidPearl","Black","Automatic","$23,206"
2017,"Honda","Civic","EX-T","Sedan",8,"19XFC1F33HE016365","","ModernSteelMetallic","Gray","Automatic","$21,803"
2017,"Honda","Civic","EX-T","Coupe",11,"2HGFC3B35HH350694","","Silver","Beige","Automatic","$21,856"
2008,"Honda","Civic","Hybrid","Sedan",94420,"JHMFA36298S008615","Rebuilt/ReconstructedTitle","","","Automatic","$5,499"
1991,"Honda","Civic","","Wagon",251000,"JHMEE4760MS003096","CleanTitle","Red","Gray","Manual","$2,400"
2012,"Honda","Civic","LX","Sedan",59645,"2HGFB2F53CH571468","CleanTitle","Red","Gray","Automatic","$10,999"
2002,"Honda","Civic","HX","Coupe",181000,"1HGEM21722L087372","CleanTitle","Black","Gray","Manual","$2,200"
2017,"Honda","Civic","LX","Coupe",7,"2HGFC4B51HH303606","CleanTitle","TaffetaWhite","BI","Automatic","MSRP $20,785"
2017,"Honda","Civic","Touring","Sedan",4,"19XFC1F92HE012487","","White","Black","Automatic","$25,824"
2017,"Honda","Civic","EX-T","Sedan",10,"19XFC1F30HE007722","","LunarSilverMetallic","Black","Automatic","$21,763"
2017,"Honda","Civic","Touring","Sedan",5,"19XFC1F92HE010738","","Gray","Black","Automatic","$25,824"
2013,"Honda","Civic","EX","Sedan",28350,"19XFB2F87DE272569","CleanTitle","WHITE","BEIGE","Automatic","$13,975"
2013,"Honda","Civic","LX","Sedan",44916,"2HGFB2F58DH511557","","Brown","","Automatic","$11,807"
