"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
7999,2006,"bmw","325i","            100967","            automatic","            clean",NA,"            rwd","            gas","           paint color: custom",NA
19432,2014,"Chrysler","300","            51941","            automatic","            clean",NA,NA,"            gas","           paint color: red",NA
16000,2008,"350Z","nissan coupe","            27500","            automatic","            clean","            like new","            rwd","            gas","           paint color: white",NA
25988,2012,"INFINITI","FX35","            66222","            automatic","            clean",NA,"            ","            gas","           paint color: custom",NA
15900,2005,"ford","f-150","            77000","            automatic","            clean",NA,NA,"            gas",NA,NA
6999,2006,"Buick","LaCrosse","            99839","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
16977,2005,"Ford","F-350 Super Duty Lariat 4dr",NA,"            automatic","            clean",NA,"            4wd","            diesel","           paint color: white",NA
3000,2008,"chevy","uplander","            168000","            automatic","            clean",NA,NA,"            gas",NA,NA
12500,2006,"subaru","impreza wrx","            82109","            manual","            clean","            excellent","            4wd","            gas","           paint color: grey",NA
1500,2005,"Toyota","Corolla","            185000","            automatic","            rebuilt","            fair","            fwd","            gas","           paint color: white","            compact"
7477,2006,"Honda","Odyssey EX-L",NA,"            automatic","            clean",NA,"            fwd","            gas",NA,NA
5200,2005,"toyota","prius",NA,"            automatic","            clean","            like new",NA,"            hybrid",NA,NA
6800,2005,"IS","300 Lexus","            138","            automatic","            clean","            excellent",NA,"            gas",NA,NA
15988,2007,"Lexus","RX 350","            90089","            automatic","            clean",NA,"            ","            gas","           paint color: blue",NA
2400,2002,"buick","century","            95000","            automatic","            clean","            excellent",NA,"            gas","           paint color: green","            full-size"
2650,1995,"Oldsmobile","Ciera SL","            61072","            automatic","            clean",NA,"            fwd","            gas","           paint color: white",NA
2588,1998,"volvo","v70","            203539","            automatic","            clean",NA,"            4wd","            gas","           paint color: brown","            mid-size"
45900,2016,"toyota","tundra 4wd truck sr5","            14350","            automatic","            clean","            excellent","            4wd","            gas","           paint color: white",NA
4999,2006,"Chevrolet","Cobalt","            166004","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
21777,2007,"GMC","Sierra 1500 Denali",NA,"            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
32999,2014,"Dodge"," Ram 1500 Big Horn 4x4 gas","            42437","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
NA,2009,"ford","fusion sel",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: red",NA
8877,2010,"Kia","Soul Sport",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: grey",NA
2350,1998,"Dodge","Ram","            196500","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2000,"mercury","grand marquis",NA,"            automatic","            clean",NA,"            rwd","            gas",NA,NA
600,1991,"pontiac","grand am se",NA,"            automatic","            clean","            fair",NA,"            gas","           paint color: red",NA
39995,2015,"Mitsubishi","Lancer Evolution","            3697","            manual","            clean",NA,"            ","            gas","           paint color: orange",NA
2000,1960,"Ford","F100",NA,"            manual","            clean",NA,"            rwd","            gas",NA,"            full-size"
15777,2011,"Nissan","Maxima 3.5 SV",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: grey",NA
6000,2006,"ford","f250 diesel power stroke",NA,"            automatic","            clean","            excellent","            rwd","            diesel","           paint color: white","            full-size"
NA,2003,"mercedes-benz","e500",NA,"            automatic","            clean",NA,"            rwd","            gas","           paint color: silver",NA
995,2002,"gmc","envoy 4X4","            275000","            automatic","            clean",NA,NA,"            gas",NA,NA
11477,2012,"Buick","Verano Convenience Group",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: black",NA
NA,2011,"honda","cr-z","            62089","            manual","            rebuilt",NA,"            fwd","            gas","           paint color: white",NA
14750,2015,"toyota","camry se sedan 4d","            42198","            automatic","            lien","            excellent","            fwd","            gas","           paint color: grey","            mid-size"
4250,2004,"mitsubishi","endeavor","            148203","            automatic","            clean","            good",NA,"            gas","           paint color: grey",NA
32995,2015,"GMC","SIERRA 2500HD","            67532","            automatic","            clean",NA,"            4wd","            gas","           paint color: silver",NA
5800,2006,"Ford","Mustang V6 Standard","            125423","            manual","            clean",NA,"            rwd","            gas","           paint color: blue",NA
5977,2002,"Land","Rover Freelander SE",NA,"            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
NA,1996,"gmc","sierra 1500",NA,"            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
NA,2012,"toyota","camry",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
42999,2015,"GMC","LIFTED Sierra 1500 SLT 4x4","            16903","            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
1600,1994,"Dodge","dakota","            183","            automatic","            clean","            good","            rwd","            gas","           paint color: white","            mid-size"
4977,2004,"Lincoln","LS Sport",NA,"            automatic","            clean",NA,"            rwd","            gas","           paint color: white",NA
4900,2003,"honda","accord",NA,"            automatic","            clean","            excellent","            fwd","            gas",NA,NA
11995,2013,"Chrysler","200","            55362","            automatic","            clean",NA,"            fwd","            gas","           paint color: custom",NA
NA,2016,"Chevy","Trax","            27400","            automatic","            clean","            new",NA,"            gas","           paint color: silver",NA
8277,2007,"Toyota","Camry SE",NA,"            manual","            clean",NA,"            fwd","            gas","           paint color: black",NA
6900,2007,"Dodge","Caliber R/T AWD","            91904","            automatic","            clean",NA,NA,"            other","           paint color: white",NA
3500,1998,"chevrolet"," 1500  4x4","            172000","            automatic","            clean","            good","            4wd","            gas",NA,NA
14277,2011,"Ford","F-150 XLT",NA,"            automatic","            clean",NA,"            4wd","            other","           paint color: white",NA
NA,2016,"ford","fusion",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
NA,1998,"Any","",NA,"            other","            clean",NA,NA,"            other",NA,NA
16577,2015,"Ford","Fusion SE",NA,"            automatic","            clean",NA,"            fwd","            gas","           paint color: grey",NA
1000,2003,"BMW","325i","            135000","            automatic","            salvage","            salvage","            rwd","            gas","           paint color: black",NA
3200,2003,"Chevrolet","Cavalier FWD","            119775","            automatic","            clean",NA,"            fwd","            gas","           paint color: silver",NA
32988,2014,"INFINITI","QX60","            38754","            ","            clean",NA,"            ","            gas","           paint color: custom",NA
9995,2014,"Mitsubishi","Mirage ES","            25592","            automatic","            clean",NA,"            fwd","            gas","           paint color: purple",NA
30950,2015,"Honda","Pilot EX-L","            28000","            automatic","            clean","            excellent","            4wd","            gas","           paint color: brown",NA
700,1991,"jaguar","xj6 sovereign","            163000","            automatic","            clean","            fair","            rwd","            gas",NA,NA
5500,1956,"Ford","Crestline",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
4500,1966,"Ford","Thunderbird",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
33477,2013,"Ford","F-150 Platinum",NA,"            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
15980,2006,"Nissan","Titan LE Crew Cab 4x4 Tru","            154701","            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
17125,2009,"Dodge","Ram 2500 Laramie Mega Cab","            154541","            automatic","            clean",NA,NA,"            gas","           paint color: brown",NA
12980,2004,"GMC","Sierra 1500 Work Truck Ext.","            180261","            automatic","            clean",NA,"            4wd","            gas","           paint color: brown",NA
19980,2011,"Chevrolet","Silverado 1500 LT Crew","            175129","            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
43980,2011,"Ford","F-350 XLT - Diesel *4x4 Tru","            37171","            automatic","            clean",NA,NA,"            diesel","           paint color: red",NA
34980,2016,"Ford","F-150 Lariat *Eco-Boost* *4","            22318","            automatic","            clean",NA,NA,"            gas","           paint color: custom",NA
950,1956,"DODGE","CORONET",NA,"            automatic","            missing",NA,NA,"            gas",NA,NA
NA,1979,"DODGE","POWERWAGON",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
18950,2007,"toyota","fj cruiser","            87000","            manual","            clean",NA,"            4wd","            gas","           paint color: black",NA
16955,2016,"Jeep","Patriot","            29181","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
1500,2005,"Acura","TL",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
10424,2010,"Dodge","Journey","            68983","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
37999,2015,"Chevrolet","LIFTED Silverado 1500","            27561","            automatic","            clean",NA,"            4wd","            gas","           paint color: blue",NA
22989,2005,"GMC","Sierra 3500","            130944","            automatic","            clean",NA,NA,"            diesel",NA,NA
12883,2011,"Chrysler","300","            95653","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
10779,2003,"Dodge","Ram 1500","            95416","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
26995,2014,"Ford","F-350 Super Duty XL","            89849","            automatic","            clean",NA,"            4wd","            other","           paint color: white",NA
26000,2012,"Toyota","tacoma",NA,"            automatic","            lien",NA,NA,"            gas",NA,NA
35988,2013,"Ford","F-150","            45228","            automatic","            clean",NA,"            4wd","            gas","           paint color: custom",NA
17971,2011,"Nissan","Frontier","            81480","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
13656,2012,"Nissan","Maxima","            66018","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
9827,2011,"Hyundai","Sonata","            103313","            automatic","            clean",NA,NA,"            gas",NA,NA
9873,2003,"Chevrolet","Silverado 1500","            118893","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
16887,2013,"Chevrolet","Traverse","            79093","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,2015,"Ram","3500","            22599","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
13499,2015,"Nissan","Altima","            30841","            automatic","            clean",NA,NA,"            gas",NA,NA
